dataset,model,metric,best,median,mean,worst
electricity,NeurIPS2023-One-Fits-All,TSI_warp,0.0,0.0,0.0,0.0
electricity,Sundial,FSS_spearman_h96_score,-0.44922172589947124,-0.44922172589947124,-0.44922172589947124,-0.44922172589947124
electricity,Sundial,GSP_mask,0.0,0.0,0.0,0.0
electricity,Sundial,GSP_noise,0.0,0.0,0.0,0.0
electricity,Sundial,GSP_warp,-0.035562604665756226,-0.035562604665756226,-0.035562604665756226,-0.035562604665756226
electricity,Sundial,LCS_clean,-0.035562604665756226,-0.035562604665756226,-0.035562604665756226,-0.035562604665756226
electricity,Sundial,LCS_mask,-0.035562604665756226,-0.035562604665756226,-0.035562604665756226,-0.035562604665756226
electricity,Sundial,LCS_noise,-0.035562604665756226,-0.035562604665756226,-0.035562604665756226,-0.035562604665756226
electricity,Sundial,LCS_warp,0.0,0.0,0.0,0.0
electricity,Sundial,LTC_dir,-0.3847481608390808,-0.3847481608390808,-0.3847481608390808,-0.3847481608390808
electricity,Sundial,LTC_step,3.9998855590820312,3.9998855590820312,3.9998855590820312,3.9998855590820312
electricity,Sundial,PDS_spearman_mae_h96_score,0.21880722133211258,0.21880722133211258,0.21880722133211258,0.21880722133211258
electricity,Sundial,TSI_mask,1.0,1.0,1.0,1.0
electricity,Sundial,TSI_noise,1.0,1.0,1.0,1.0
electricity,Sundial,TSI_warp,0.0,0.0,0.0,0.0
electricity,Time-MoE,FSS_spearman_h96_score,-0.04160107358784992,-0.04160107358784992,-0.04160107358784992,-0.04160107358784992
electricity,Time-MoE,GSP_mask,0.0,0.0,0.0,0.0
electricity,Time-MoE,GSP_noise,0.0,0.0,0.0,0.0
electricity,Time-MoE,GSP_warp,-0.07600367814302444,-0.07600367814302444,-0.07600367814302444,-0.07600367814302444
electricity,Time-MoE,LCS_clean,-0.07600367814302444,-0.07600367814302444,-0.07600367814302444,-0.07600367814302444
electricity,Time-MoE,LCS_mask,-0.07600367814302444,-0.07600367814302444,-0.07600367814302444,-0.07600367814302444
electricity,Time-MoE,LCS_noise,-0.07600367814302444,-0.07600367814302444,-0.07600367814302444,-0.07600367814302444
electricity,Time-MoE,LCS_warp,0.0,0.0,0.0,0.0
electricity,Time-MoE,LTC_dir,-0.3946278393268585,-0.3946278393268585,-0.3946278393268585,-0.3946278393268585
electricity,Time-MoE,LTC_step,0.7652984261512756,0.7652984261512756,0.7652984261512756,0.7652984261512756
electricity,Time-MoE,PDS_spearman_mae_h96_score,-0.22132138361181047,-0.22132138361181047,-0.22132138361181047,-0.22132138361181047
electricity,Time-MoE,TSI_mask,1.0,1.0,1.0,1.0
electricity,Time-MoE,TSI_noise,1.0,1.0,1.0,1.0
electricity,Time-MoE,TSI_warp,0.0,0.0,0.0,0.0
electricity,UniTime,FSS_spearman_h96_score,-0.5091355611122897,-0.5091355611122897,-0.5091355611122897,-0.5091355611122897
electricity,UniTime,GSP_mask,0.0,0.0,0.0,0.0
electricity,UniTime,GSP_noise,0.0,0.0,0.0,0.0
electricity,UniTime,GSP_warp,-0.07177846133708954,-0.07177846133708954,-0.07177846133708954,-0.07177846133708954
electricity,UniTime,LCS_clean,-0.07177846133708954,-0.07177846133708954,-0.07177846133708954,-0.07177846133708954
electricity,UniTime,LCS_mask,-0.07177846133708954,-0.07177846133708954,-0.07177846133708954,-0.07177846133708954
electricity,UniTime,LCS_noise,-0.07177846133708954,-0.07177846133708954,-0.07177846133708954,-0.07177846133708954
electricity,UniTime,LCS_warp,0.0,0.0,0.0,0.0
electricity,UniTime,LTC_dir,-0.37237775325775146,-0.37237775325775146,-0.37237775325775146,-0.37237775325775146
electricity,UniTime,LTC_step,3.3046751022338867,3.3046751022338867,3.3046751022338867,3.3046751022338867
electricity,UniTime,PDS_spearman_mae_h96_score,-0.18064059281300066,-0.18064059281300066,-0.18064059281300066,-0.18064059281300066
electricity,UniTime,TSI_mask,1.0,1.0,1.0,1.0
electricity,UniTime,TSI_noise,1.0,1.0,1.0,1.0
electricity,UniTime,TSI_warp,0.0,0.0,0.0,0.0
electricity,VisionTS,FSS_spearman_h96_score,-0.21814927390216807,-0.21814927390216807,-0.21814927390216807,-0.21814927390216807
electricity,VisionTS,GSP_mask,0.0,0.0,0.0,0.0
electricity,VisionTS,GSP_noise,0.0,0.0,0.0,0.0
electricity,VisionTS,GSP_warp,-0.054717112332582474,-0.054717112332582474,-0.054717112332582474,-0.054717112332582474
electricity,VisionTS,LCS_clean,-0.054717112332582474,-0.054717112332582474,-0.054717112332582474,-0.054717112332582474
electricity,VisionTS,LCS_mask,-0.054717112332582474,-0.054717112332582474,-0.054717112332582474,-0.054717112332582474
electricity,VisionTS,LCS_noise,-0.054717112332582474,-0.054717112332582474,-0.054717112332582474,-0.054717112332582474
electricity,VisionTS,LCS_warp,0.0,0.0,0.0,0.0
electricity,VisionTS,LTC_dir,-0.3841148912906647,-0.3841148912906647,-0.3841148912906647,-0.3841148912906647
electricity,VisionTS,LTC_step,0.9932804703712463,0.9932804703712463,0.9932804703712463,0.9932804703712463
electricity,VisionTS,PDS_spearman_mae_h96_score,-0.251033560311284,-0.251033560311284,-0.251033560311284,-0.251033560311284
electricity,VisionTS,TSI_mask,1.0,1.0,1.0,1.0
electricity,VisionTS,TSI_noise,1.0,1.0,1.0,1.0
electricity,VisionTS,TSI_warp,0.0,0.0,0.0,0.0
electricity,chronos-forecasting,FSS_spearman_h96_score,-0.07939954866892726,-0.07939954866892726,-0.07939954866892726,-0.07939954866892726
electricity,chronos-forecasting,GSP_mask,0.0,0.0,0.0,0.0
electricity,chronos-forecasting,GSP_noise,0.0,0.0,0.0,0.0
electricity,chronos-forecasting,GSP_warp,-0.035526521503925323,-0.035526521503925323,-0.035526521503925323,-0.035526521503925323
electricity,chronos-forecasting,LCS_clean,-0.035526521503925323,-0.035526521503925323,-0.035526521503925323,-0.035526521503925323
electricity,chronos-forecasting,LCS_mask,-0.035526521503925323,-0.035526521503925323,-0.035526521503925323,-0.035526521503925323
electricity,chronos-forecasting,LCS_noise,-0.035526521503925323,-0.035526521503925323,-0.035526521503925323,-0.035526521503925323
electricity,chronos-forecasting,LCS_warp,0.0,0.0,0.0,0.0
electricity,chronos-forecasting,LTC_dir,-0.5374126434326172,-0.5374126434326172,-0.5374126434326172,-0.5374126434326172
electricity,chronos-forecasting,LTC_step,0.1342899352312088,0.1342899352312088,0.1342899352312088,0.1342899352312088
electricity,chronos-forecasting,PDS_spearman_mae_h96_score,0.03092884527351796,0.03092884527351796,0.03092884527351796,0.03092884527351796
electricity,chronos-forecasting,TSI_mask,1.0,1.0,1.0,1.0
electricity,chronos-forecasting,TSI_noise,1.0,1.0,1.0,1.0
electricity,chronos-forecasting,TSI_warp,0.0,0.0,0.0,0.0
electricity,moment,FSS_spearman_h96_score,-0.24722460644094188,-0.24722460644094188,-0.24722460644094188,-0.24722460644094188
electricity,moment,GSP_mask,0.0,0.0,0.0,0.0
electricity,moment,GSP_noise,0.0,0.0,0.0,0.0
electricity,moment,GSP_warp,-0.02810727059841156,-0.02810727059841156,-0.02810727059841156,-0.02810727059841156
electricity,moment,LCS_clean,-0.02810727059841156,-0.02810727059841156,-0.02810727059841156,-0.02810727059841156
electricity,moment,LCS_mask,-0.02810727059841156,-0.02810727059841156,-0.02810727059841156,-0.02810727059841156
electricity,moment,LCS_noise,-0.02810727059841156,-0.02810727059841156,-0.02810727059841156,-0.02810727059841156
electricity,moment,LCS_warp,0.0,0.0,0.0,0.0
electricity,moment,LTC_dir,-0.3635386824607849,-0.3635386824607849,-0.3635386824607849,-0.3635386824607849
electricity,moment,LTC_step,2.0338833332061768,2.0338833332061768,2.0338833332061768,2.0338833332061768
electricity,moment,PDS_spearman_mae_h96_score,-0.015474794003204393,-0.015474794003204393,-0.015474794003204393,-0.015474794003204393
electricity,moment,TSI_mask,1.0,1.0,1.0,1.0
electricity,moment,TSI_noise,1.0,1.0,1.0,1.0
electricity,moment,TSI_warp,0.0,0.0,0.0,0.0
electricity,tirex,FSS_spearman_h96_score,-0.5651048166712851,-0.5651048166712851,-0.5651048166712851,-0.5651048166712851
electricity,tirex,GSP_mask,0.0,0.0,0.0,0.0
electricity,tirex,GSP_noise,0.0,0.0,0.0,0.0
electricity,tirex,GSP_warp,-0.055196404457092285,-0.055196404457092285,-0.055196404457092285,-0.055196404457092285
electricity,tirex,LCS_clean,-0.055196404457092285,-0.055196404457092285,-0.055196404457092285,-0.055196404457092285
electricity,tirex,LCS_mask,-0.055196404457092285,-0.055196404457092285,-0.055196404457092285,-0.055196404457092285
electricity,tirex,LCS_noise,-0.055196404457092285,-0.055196404457092285,-0.055196404457092285,-0.055196404457092285
electricity,tirex,LCS_warp,0.0,0.0,0.0,0.0
electricity,tirex,LTC_dir,-0.29614418745040894,-0.29614418745040894,-0.29614418745040894,-0.29614418745040894
electricity,tirex,LTC_step,9.622393608093262,9.622393608093262,9.622393608093262,9.622393608093262
electricity,tirex,PDS_spearman_mae_h96_score,-0.14379577706569005,-0.14379577706569005,-0.14379577706569005,-0.14379577706569005
electricity,tirex,TSI_mask,1.0,1.0,1.0,1.0
electricity,tirex,TSI_noise,1.0,1.0,1.0,1.0
electricity,tirex,TSI_warp,0.0,0.0,0.0,0.0
electricity,uni2ts,FSS_spearman_h96_score,-0.5600251574060626,-0.5600251574060626,-0.5600251574060626,-0.5600251574060626
electricity,uni2ts,GSP_mask,0.0,0.0,0.0,0.0
electricity,uni2ts,GSP_noise,0.0,0.0,0.0,0.0
electricity,uni2ts,GSP_warp,-0.05591694265604019,-0.05591694265604019,-0.05591694265604019,-0.05591694265604019
electricity,uni2ts,LCS_clean,-0.05591694265604019,-0.05591694265604019,-0.05591694265604019,-0.05591694265604019
electricity,uni2ts,LCS_mask,-0.05591694265604019,-0.05591694265604019,-0.05591694265604019,-0.05591694265604019
electricity,uni2ts,LCS_noise,-0.05591694265604019,-0.05591694265604019,-0.05591694265604019,-0.05591694265604019
electricity,uni2ts,LCS_warp,0.0,0.0,0.0,0.0
electricity,uni2ts,LTC_dir,-0.29366201162338257,-0.29366201162338257,-0.29366201162338257,-0.29366201162338257
electricity,uni2ts,LTC_step,9.970389366149902,9.970389366149902,9.970389366149902,9.970389366149902
electricity,uni2ts,PDS_spearman_mae_h96_score,-0.18081011100938427,-0.18081011100938427,-0.18081011100938427,-0.18081011100938427
electricity,uni2ts,TSI_mask,1.0,1.0,1.0,1.0
electricity,uni2ts,TSI_noise,1.0,1.0,1.0,1.0
electricity,uni2ts,TSI_warp,0.0,0.0,0.0,0.0
